142,47.718,53.709,48.373,47.349
142.5,47.742,53.832,48.457,47.419
143,47.777,53.959,48.553,47.488
143.5,47.821,54.052,48.66,47.565
144,47.881,54.158,48.761,47.65
144.5,47.942,54.245,48.869,47.734
145,48.006,54.312,48.982,47.82
145.5,48.07,54.375,49.086,47.9
146,48.136,54.415,49.195,47.989
146.5,48.356,54.443,49.295,48.078
147,48.527,54.472,49.383,48.154
147.5,48.66,54.478,49.478,48.236
148,48.791,54.48,49.567,48.311
148.5,48.928,54.478,49.646,48.385
149,49.07,54.457,49.73,48.455
149.5,49.218,54.451,49.795,48.521
150,49.393,54.445,49.862,48.586
150.5,49.554,54.445,49.917,48.634
151,49.694,54.482,49.981,48.698
151.5,49.84,54.522,50.034,48.748
152,49.949,54.584,50.074,48.79
152.5,50.015,54.665,50.136,48.83
153,50.007,54.768,50.168,48.881
153.5,49.974,54.875,50.211,48.93
154,49.933,54.987,50.261,48.981
154.5,49.914,55.114,50.316,49.022
155,49.897,55.23,50.381,49.085
155.5,49.909,55.349,50.454,49.135
156,49.914,55.461,50.539,49.205
156.5,49.953,55.567,50.622,49.268
157,50.004,55.665,50.714,49.349
157.5,50.053,55.755,50.811,49.418
158,50.124,55.835,50.899,49.497
158.5,50.178,55.904,51.009,49.576
159,50.234,55.966,51.105,49.654
159.5,50.371,56.011,51.201,49.732
160,50.609,56.046,51.3,49.816
160.5,50.747,56.059,51.391,49.884
161,50.86,56.07,51.468,49.959
161.5,50.992,56.085,51.556,50.03
162,51.115,56.084,51.645,50.111
162.5,51.261,56.081,51.701,50.166
163,51.399,56.088,51.767,50.234
163.5,51.54,56.09,51.831,50.292
164,51.662,56.108,51.894,50.343
164.5,51.775,56.134,51.957,50.402
165,51.891,56.173,51.999,50.454
165.5,51.985,56.23,52.051,50.508
166,51.997,56.31,52.102,50.56
166.5,51.974,56.397,52.146,50.603
167,51.953,56.498,52.201,50.649
167.5,51.931,56.602,52.246,50.704
168,51.929,56.703,52.306,50.744
168.5,51.919,56.808,52.377,50.799
169,51.929,56.912,52.452,50.863
169.5,51.968,57.01,52.531,50.924
170,52.002,57.11,52.614,50.988
170.5,52.044,57.205,52.704,51.054
171,52.094,57.287,52.794,51.123
